position_x,position_y,time,steps
5,1,0.003975,64
0,1,0.002136,64
6,4,0.002033,64
5,1,0.002016,64
0,2,0.002111,64
3,1,0.001877,64
6,6,0.001998,64
1,5,0.002166,64
0,5,0.003035,64
1,3,0.002032,64
2,6,0.00203,64
6,0,0.001964,64
0,4,0.001963,64
0,6,0.002033,64
0,3,0.003091,64
5,4,0.002955,64
3,3,0.002035,64
1,0,0.002029,125
3,7,0.002036,64
3,6,0.002119,64
6,7,0.002996,64
5,7,0.003016,64
2,6,0.003032,64
3,6,0.003003,64
4,3,0.002,64
4,2,0.001999,64
6,2,0.003002,64
4,2,0.003031,64
6,3,0.002003,64
2,1,0.003034,64
3,4,0.002059,64
6,7,0.003421,64
2,7,0.00225,64
0,1,0.001997,64
5,5,0.003971,64
0,4,0.003002,64
1,6,0.002574,64
2,1,0.002028,64
4,0,0.00206,64
3,4,0.002027,64
6,2,0.002031,64
5,3,0.003119,64
2,4,0.00212,64
6,4,0.002997,64
1,4,0.003043,64
7,1,0.003,64
3,0,0.003039,64
4,4,0.003035,64
6,1,0.003016,64
4,2,0.002958,64
1,2,0.002091,64
0,7,0.002103,64
5,0,0.003002,64
2,0,0.002261,64
1,1,0.002066,64
0,5,0.002958,64
5,2,0.003037,64
5,3,0.001986,64
3,2,0.002001,64
5,6,0.001969,64
5,0,0.00197,64
4,0,0.002032,64
5,1,0.001613,64
0,3,0.002369,64
1,0,0.002423,64
2,0,0.002087,64
3,3,0.002001,64
2,2,0.002934,64
0,6,0.00196,64
0,3,0.002143,64
2,7,0.003212,64
6,0,0.001972,64
7,1,0.002278,64
0,5,0.00204,64
0,5,0.002935,64
3,1,0.002191,64
0,4,0.002998,64
7,6,0.003066,64
6,3,0.003166,64
1,6,0.002484,64
2,7,0.001964,64
3,0,0.002001,64
6,6,0.001993,64
6,3,0.003157,64
2,0,0.002961,64
7,2,0.00199,64
4,6,0.00297,64
3,3,0.001999,64
4,2,0.003062,64
6,2,0.002003,64
1,2,0.003001,64
7,1,0.002004,64
1,3,0.003033,64
0,0,0.002966,64
2,6,0.003033,64
7,1,0.00316,64
1,5,0.003001,64
7,2,0.003093,64
6,6,0.003029,64
7,6,0.003039,64
1,2,0.003099,64
4,3,0.003,64
6,6,0.003224,64
4,6,0.003002,64
4,3,0.003002,64
6,2,0.002083,64
0,6,0.002148,64
2,4,0.002036,64
0,1,0.001996,64
0,3,0.003035,64
1,4,0.003077,64
7,2,0.001968,64
6,0,0.002122,64
3,5,0.002001,64
4,0,0.002007,64
3,2,0.002375,64
4,7,0.003033,64
5,2,0.002034,64
6,7,0.002301,64
1,2,0.002101,64
7,6,0.00298,64
2,0,0.002037,64
5,7,0.002148,64
4,7,0.002998,64
3,3,0.002036,64
5,0,0.002564,64
6,0,0.002992,64
